Species,Family,locomotion,hunting,diet,diet_functional,bayou_reg_size,bayou_reg_hbER,bayou_reg_headER,bayou_reg_AEI_S,bayou_reg_rib_sc,geomean,hbER,headER,bodyER,AEI_C,AEI_T,AEI_L,AEI_S,body_length,avgRibLength,ln_se_geomean,ln_se_hbER,ln_se_headER,ln_se_headER.1,ln_se_bodyER,ln_se_AEI_C,ln_se_AEI_T,ln_se_AEI_L,ln_se_AEI_S,ln_se_avgRibLength
Nandinia_binotata,01Nandiniidae,arboreal,occasional,herbivore,soft,base,feliformia,base,base,feliformia,76.57737639,6.141625963,3.458291964,4.820456643,3.933861189,6.374260481,5.709788375,1.441237938,346.3066667,72,0.015991906,0.037133906,0.011291305,0.011291305,0.034928097,0.043076942,0.057942867,0.022180074,0.028489541,0.033178722
Prionodon_linsang,02Prionodontidae,semi_arboreal,ambush,carnivore,vert_flesh,base,feliformia,base,base,feliformia,56.82098909,7.48052343,3.48066497,6.016441357,5.399034603,6.886004319,7.314071066,1.668476088,293.7766667,49.26666667,0.026790135,0.060053695,0.024844829,0.024844829,0.061663102,0.020148687,0.039029168,0.025346609,0.00550204,0.07265609
Acinonyx_jubatus,03Felidae,terrestrial,pursuit,carnivore,vert_flesh,base,feliformia,base,base,feliformia,187.2960613,5.195541788,2.500101459,4.401429461,4.291687329,5.077424751,4.826176409,2.012071126,875.74,199.34,0.026921059,0.024251739,0.013960098,0.013960098,0.025449549,0.029688101,0.037233512,0.026142479,0.048229992,0.026275642
Caracal_aurata,03Felidae,terrestrial,pounce,carnivore,vert_flesh,base,feliformia,base,base,feliformia,127.4549664,5.933567799,2.69175472,4.851517606,3.655901419,5.423623247,5.865886471,1.925306035,594.16,122.5,0.017059072,0.01744956,0.028915035,0.028915035,0.015553779,0.005814493,0.083022136,0.039082446,0.120783401,0.016327981
Caracal_caracal,03Felidae,semi_arboreal,pounce,carnivore,vert_flesh,base,feliformia,base,base,feliformia,104.0932716,5.819160295,2.571860173,4.812415343,3.959431114,5.457870794,5.908831748,2.079785256,501.1733333,104.6,0.019281436,0.0489982,0.020999477,0.020999477,0.054722889,0.003112173,0.018821814,0.027357733,0.041423519,0.041949886
Catopuma_temminckii,03Felidae,terrestrial,ambush,carnivore,vert_flesh,base,feliformia,base,base,feliformia,110.6325997,6.152148493,2.475273917,5.041901988,3.77288359,5.075396364,5.620414809,1.893797289,509.6833333,101.1,0.017019141,0.008792518,0.054637471,0.054637471,0.007060255,0.044848855,0.024974172,0.021336655,0.033176223,0.021813257
Felis_chaus,03Felidae,semi_arboreal,ambush,carnivore,vert_flesh,base,feliformia,base,base,feliformia,95.75454319,6.018099405,2.620223625,4.9441,3.680642291,5.454742374,5.807736268,1.709406232,455.075,93.5,0.110873266,0.08216498,0.056937034,0.056937034,0.078862951,0.031370275,0.029076994,0.002619884,0.030217312,0.200505379
Felis_margarita,03Felidae,semi_fossorial,ambush,carnivore,vert_flesh,base,feliformia,base,base,feliformia,79.83443279,5.61691358,2.593270366,4.532222222,3.279015785,5.480178454,6.141136088,1.788285109,367.11,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis_nigripes,03Felidae,terrestrial,ambush,carnivore,vert_flesh,base,feliformia,base,base,feliformia,60.45060118,5.567611336,2.231773321,4.432388664,3.531357225,5.666612084,6.570133541,1.595744681,273.7,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis_silvestris,03Felidae,semi_arboreal,ambush,carnivore,vert_flesh,base,feliformia,base,base,feliformia,87.81000787,5.330763829,2.541524575,4.3079975,3.462643385,5.06373083,5.439181929,1.384165253,388.3925,90.275,0.051207124,0.022717512,0.020060762,0.020060762,0.021515477,0.028983319,0.021683069,0.029462735,0.049638031,0.049844725
